,reviews,scores,compound,label
398, our college has a world-class swimming pool,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
399, lan is available for every student,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
400, some students prefer to go for higher studies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
409," initiated in 2008, it served as a knowledge-sharing platform for the head of various organizations to impart their insights to the budding managers of the country","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
410,i was aware of the brand name and course structure,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
415,iit roorkee is the oldest technical university in asia previously known as thompson college of engineering,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
420,"admission process, the candidates must have passed class 12 with mathematics, physics, and chemistry, with a minimum of 75 percent","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
423, we have different labs for different fie,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
424, the percentage of startups coming for internships is higher,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
425, most of the students go for a software development role,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
428,"there are all types of services, and wi-fi facility is available in every hostel room","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
430, coaches are available for every sport and game,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
432, almost all types of equipment are available in labs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
434, the library contains books of every section ranging from science and technology to art,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
435," all the facilities are available in hostels, including wi-fi, lan, washing machine, night canteen, tv room, gyms, etc","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
